file,labels
BD/BI_Cr_5/labels/polar_circular/Lam.S.triX400wF(2191)(0)D-14.png,polar_circular
BD/BI_Cr_5/labels/equatorial_circular/Ole.O.euroX400wF(4261)(0)A-3.png,equatorial_circular
BD/BI_Cr_5/labels/equatorial_alongada/Fag.C.satX400wF(786)(0)F-10.png,equatorial_alongada
BD/BI_Cr_5/labels/polar_circular/Lam.O.micX400wF(886)(0)C-34.png,polar_circular
BD/BI_Cr_5/labels/polar_triangular/Fab.C.vilX400wF(2017)(0)B-9.png,polar_triangular
BD/BI_Cr_5/labels/polar_tricircular/Eri.E.maniX400wF(5357)(0)C-2.png,polar_tricircular
BD/BI_Cr_5/labels/polar_tricircular/Eri.E.maniX400wF(5355)(0)A-21.png,polar_tricircular
BD/BI_Cr_5/labels/polar_circular/Lam.O.micX400wF(886)(0)C-32.png,polar_circular
BD/BI_Cr_5/labels/equatorial_circular/Lam.S.triX400wF(2190)(0)C-15.png,equatorial_circular
BD/BI_Cr_5/labels/equatorial_circular/Lam.S.thyX400wF(947)(0)H-5.png,equatorial_circular
BD/BI_Cr_5/labels/polar_circular/Oxa.O.pes.cX400wF(1734)(0)B-9.png,polar_circular
BD/BI_Cr_5/labels/polar_triangular/IMG_3734-66.png,polar_triangular
BD/BI_Cr_5/labels/equatorial_circular/Lam.S.thyX400wF(942)(935)B-4.png,equatorial_circular
BD/BI_Cr_5/labels/equatorial_circular/Lam.S.triX400wF(2189)(0)B-7.png,equatorial_circular
BD/BI_Cr_5/labels/polar_circular/Lam.S.thyX400wF(946)(0)G-2.png,polar_circular
BD/BI_Cr_5/labels/equatorial_circular/Lam.T.capX400wF(1031)(0)C-12.png,equatorial_circular
BD/BI_Cr_5/labels/equatorial_circular/Bra.S.albX400wF(2150)(0)A-8.png,equatorial_circular
BD/BI_Cr_5/labels/polar_circular/x40 f (1)-4.png,polar_circular
BD/BI_Cr_5/labels/equatorial_alongada/Api.F.comX400wF(2135)(0)A-4.png,equatorial_alongada
BD/BI_Cr_5/labels/equatorial_circular/Lam.S.thyX400wF(944)(940)E-12.png,equatorial_circular
BD/BI_Cr_5/labels/equatorial_circular/Ole.O.euroX400wF(4263)(0)C-74.png,equatorial_circular
BD/BI_Cr_5/labels/equatorial_alongada/Fag.C.satX400wF(784)(0)D-13.png,equatorial_alongada
BD/BI_Cr_5/labels/equatorial_circular/Ole.O.euroX400wF(4261)(0)A-34.png,equatorial_circular
BD/BI_Cr_5/labels/equatorial_circular/Vit.V.viniX400wF(4979)(0)B-11.png,equatorial_circular
BD/BI_Cr_5/labels/equatorial_eliptica/Asp.U.marX400wF(5320)(0)D-7.png,equatorial_eliptica
BD/BI_Cr_5/labels/polar_triangular/IMG_3734-119.png,polar_triangular
BD/BI_Cr_5/labels/polar_tricircular/Eri.E.maniX400wF(5358)(0)D-12.png,polar_tricircular
BD/BI_Cr_5/labels/equatorial_eliptica/Asp.U.marX400wF(5319)(0)C-5.png,equatorial_eliptica
BD/BI_Cr_5/labels/polar_circular/Lam.O.micX400wF(888)(0)E-2.png,polar_circular
BD/BI_Cr_5/labels/equatorial_circular/Vit.V.viniX400wF(4984)(0)G-57.png,equatorial_circular
BD/BI_Cr_5/labels/equatorial_circular/Bra.S.albX400wF(2151)(0)B-12.png,equatorial_circular
BD/BI_Cr_5/labels/polar_triangular/Fab.C.vilX400wF(2019)(0)D-11.png,polar_triangular
BD/BI_Cr_5/labels/polar_triangular/IMG_3734-69.png,polar_triangular
BD/BI_Cr_5/labels/polar_triangular/IMG_3734-17.png,polar_triangular
BD/BI_Cr_5/labels/polar_triangular/Myr.E.camaX400wF(1872)(0)G-10.png,polar_triangular
BD/BI_Cr_5/labels/equatorial_circular/Ole.O.euroX400wF(4261)(0)A-47.png,equatorial_circular
BD/BI_Cr_5/labels/equatorial_alongada/Fag.C.satX400wF(781)(0)A-18.png,equatorial_alongada
BD/BI_Cr_5/labels/polar_tricircular/Eri.E.maniX400wF(5356)(0)B-5.png,polar_tricircular
BD/BI_Cr_5/labels/polar_circular/Lam.T.capX400wF(1033)(0)E-1.png,polar_circular
BD/BI_Cr_5/labels/equatorial_circular/Lam.S.triX400wF(2191)(0)D-39.png,equatorial_circular
BD/BI_Cr_5/labels/equatorial_circular/Lam.S.thyX400wF(941)(937)A-11.png,equatorial_circular
BD/BI_Cr_5/labels/polar_triangular/Myr.E.camaX400wF(2964)(0)J-29.png,polar_triangular
BD/BI_Cr_5/labels/polar_triangular/Fab.C.vilX400wF(2018)(0)C-13.png,polar_triangular
BD/BI_Cr_5/labels/equatorial_circular/x40 f (7)-1.png,equatorial_circular
BD/BI_Cr_5/labels/polar_circular/Lam.S.triX400wF(2192)(0)E-4.png,polar_circular
BD/BI_Cr_5/labels/polar_circular/Lam.T.capX400wF(1032)(0)D-3.png,polar_circular
BD/BI_Cr_5/labels/polar_tricircular/Eri.E.maniX400wF(5357)(0)C-27.png,polar_tricircular
BD/BI_Cr_5/labels/equatorial_circular/Lam.S.thyX400wF(944)(940)E-1.png,equatorial_circular
BD/BI_Cr_5/labels/polar_triangular/IMG_3736-79.png,polar_triangular
BD/BI_Cr_5/labels/polar_circular/Lam.O.micX400wF(888)(0)E-7.png,polar_circular
BD/BI_Cr_5/labels/equatorial_circular/Fab.C.silX400wF(476)(0)B-4.png,equatorial_circular
BD/BI_Cr_5/labels/equatorial_alongada/Api.F.comX400wF(2136)(0)B-3.png,equatorial_alongada
BD/BI_Cr_5/labels/polar_triangular/Fab.C.vilX400wF(2016)(0)A-20.png,polar_triangular
BD/BI_Cr_5/labels/equatorial_eliptica/Asp.U.marX400wF(5321)(0)E-8.png,equatorial_eliptica
BD/BI_Cr_5/labels/equatorial_circular/Vit.V.viniX400wF(4978)(0)A-6.png,equatorial_circular
BD/BI_Cr_5/labels/equatorial_circular/Ole.O.euroX400wF(4261)(0)A-11.png,equatorial_circular
BD/BI_Cr_5/labels/equatorial_eliptica/Asp.U.marX400wF(5323)(0)G-1.png,equatorial_eliptica
BD/BI_Cr_5/labels/equatorial_circular/Lam.S.thyX400wF(945)(0)F-1.png,equatorial_circular
BD/BI_Cr_5/labels/equatorial_circular/Ole.O.euroX400wF(4262)(0)B-23.png,equatorial_circular
BD/BI_Cr_5/labels/polar_circular/Oxa.O.pes.cX400wF(1741)(0)I-4.png,polar_circular
BD/BI_Cr_5/labels/polar_circular/Lam.S.thyX400wF(944)(940)E-18.png,polar_circular
